"","Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate","","date_2"
"337","log.new_cases.per1M","rwi",0.085,0.1041,5,0.8163,0.4514,0.0113,"",2020-03-16
"338","log.new_cases.per1M","X65p_pct",3.6711,2.5487,5,1.4404,0.2093,0.0159,"",2020-03-16
"339","log.new_cases.per1M","M_pct",-0.0451,1.4392,5,-0.0313,0.9762,-4e-04,"",2020-03-16
"340","l3.log.admin1_inflow_trip_count.per1M","(Intercept)",-4.8006,2.239,1041,-2.1441,0.0323,0,"*",2020-03-16
"341","l3.log.admin1_inflow_trip_count.per1M","l4.MA7.log.new_cases.per1M",-0.001,0.018,1041,-0.0544,0.9567,-9e-04,"",2020-03-16
"342","l3.log.admin1_inflow_trip_count.per1M","l4.log.admin1_inflow_trip_count.per1M",0.5945,0.0239,1041,24.8812,0,0.5961,"***",2020-03-16
"343","l3.log.admin1_inflow_trip_count.per1M","rwi",-0.5416,0.2515,29,-2.154,0.0397,-0.0874,"*",2020-03-16
"344","l3.log.admin1_inflow_trip_count.per1M","X65p_pct",-10.6883,7.7613,29,-1.3771,0.179,-0.0562,"",2020-03-16
"345","l3.log.admin1_inflow_trip_count.per1M","M_pct",14.3818,4.1386,29,3.475,0.0016,0.146,"**",2020-03-16
"346","l3.log.admin1_inflow_trip_count.per1M","l3.weekend",-0.2105,0.0214,1041,-9.8426,0,-0.0643,"***",2020-03-16
"347","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","(Intercept)",5.6672,1.3908,1041,4.0748,0,0,"***",2020-03-16
"348","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.MA7.log.new_cases.per1M",-0.033,0.0245,1041,-1.3492,0.1776,-0.0237,"",2020-03-16
"349","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l17.log.admin1_inbound_admin2_crossbound_trip_count.per1M",0.4819,0.0256,1041,18.806,0,0.4841,"***",2020-03-16
"350","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","rwi",2.1504,0.1835,29,11.7168,0,0.3338,"***",2020-03-16
"351","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","X65p_pct",-2.8512,4.6402,29,-0.6145,0.5437,-0.0144,"",2020-03-16
"352","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","M_pct",-7.1809,2.4573,29,-2.9222,0.0067,-0.0701,"**",2020-03-16
"353","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","l16.weekend",-0.2311,0.02,1041,-11.5796,0,-0.0685,"***",2020-03-16
