"","Response","family","link","method","Marginal","Conditional","date_2"
"164","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.34,0.94,2020-04-14
"165","log.new_cases.per1M","gaussian","identity","none",0.93,0.93,2020-04-15
"166","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.67,0.95,2020-04-15
"167","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.53,0.97,2020-04-15
"168","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.36,0.95,2020-04-15
"169","log.new_cases.per1M","gaussian","identity","none",0.93,0.93,2020-04-16
"170","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.66,0.95,2020-04-16
"171","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.53,0.97,2020-04-16
"172","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.3,0.97,2020-04-16
"173","log.new_cases.per1M","gaussian","identity","none",0.93,0.93,2020-04-17
"174","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.65,0.95,2020-04-17
"175","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.53,0.97,2020-04-17
"176","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.31,0.96,2020-04-17
"177","log.new_cases.per1M","gaussian","identity","none",0.93,0.93,2020-04-18
"178","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.65,0.95,2020-04-18
"179","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.55,0.97,2020-04-18
"180","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.24,0.97,2020-04-18
"181","log.new_cases.per1M","gaussian","identity","none",0.93,0.93,2020-04-19
"182","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.65,0.95,2020-04-19
"183","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.55,0.97,2020-04-19
"184","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.26,0.97,2020-04-19
"185","log.new_cases.per1M","gaussian","identity","none",0.92,0.93,2020-04-20
"186","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.64,0.95,2020-04-20
"187","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.56,0.97,2020-04-20
"188","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.25,0.97,2020-04-20
"189","log.new_cases.per1M","gaussian","identity","none",0.92,0.92,2020-04-21
"190","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.64,0.95,2020-04-21
"191","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.56,0.97,2020-04-21
"192","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.25,0.97,2020-04-21
"193","log.new_cases.per1M","gaussian","identity","none",0.92,0.92,2020-04-22
"194","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.64,0.95,2020-04-22
"195","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.55,0.98,2020-04-22
"196","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.25,0.97,2020-04-22
"197","log.new_cases.per1M","gaussian","identity","none",0.92,0.92,2020-04-23
"198","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.61,0.95,2020-04-23
"199","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.57,0.98,2020-04-23
"200","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.25,0.97,2020-04-23
"201","log.new_cases.per1M","gaussian","identity","none",0.92,0.92,2020-04-24
"202","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.62,0.95,2020-04-24
"203","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.57,0.98,2020-04-24
"204","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.25,0.97,2020-04-24
"205","log.new_cases.per1M","gaussian","identity","none",0.92,0.92,2020-04-25
"206","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.65,0.95,2020-04-25
"207","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.57,0.98,2020-04-25
"208","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.25,0.97,2020-04-25
"209","log.new_cases.per1M","gaussian","identity","none",0.92,0.92,2020-04-26
"210","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.63,0.95,2020-04-26
"211","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.58,0.97,2020-04-26
"212","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.25,0.97,2020-04-26
"213","log.new_cases.per1M","gaussian","identity","none",0.92,0.92,2020-04-27
"214","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.62,0.95,2020-04-27
"215","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.6,0.98,2020-04-27
"216","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.24,0.97,2020-04-27
"217","log.new_cases.per1M","gaussian","identity","none",0.92,0.92,2020-04-28
"218","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.58,0.95,2020-04-28
"219","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.6,0.98,2020-04-28
"220","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.24,0.97,2020-04-28
"221","log.new_cases.per1M","gaussian","identity","none",0.91,0.91,2020-04-29
"222","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.57,0.95,2020-04-29
"223","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.58,0.98,2020-04-29
"224","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.24,0.97,2020-04-29
"225","log.new_cases.per1M","gaussian","identity","none",0.91,0.91,2020-04-30
"226","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.53,0.95,2020-04-30
"227","l16.log.admin1_inbound_admin2_crossbound_trip_count.per1M","gaussian","identity","none",0.54,0.98,2020-04-30
"228","l22.log.admin2_inbound_trip_count.per1M","gaussian","identity","none",0.24,0.97,2020-04-30
"229","log.new_cases.per1M","gaussian","identity","none",0.91,0.91,2020-05-01
"230","l3.log.admin1_inflow_trip_count.per1M","gaussian","identity","none",0.5,0.95,2020-05-01
