"","X.Intercept.","date_2","sub_model","lockdown_level","se"
"393",0.020488225522329,2020-06-06,"model_4","3",0.0159797163406927
"493",0.0227199744155674,2020-06-06,"model_4","4",0.0159797163406927
"224",-0.0393357345008898,2020-06-07,"model_4","2",0.016134555685184
"394",0.0197596486459618,2020-06-07,"model_4","3",0.016134555685184
"494",0.0195760858549283,2020-06-07,"model_4","4",0.016134555685184
"225",-0.0463166705208338,2020-06-08,"model_4","2",0.0158998119087755
"395",0.0240095771446936,2020-06-08,"model_4","3",0.0158998119087755
"495",0.0223070933761416,2020-06-08,"model_4","4",0.0158998119087755
"226",-0.038945362745158,2020-06-09,"model_4","2",0.0163284286039736
"396",0.0207832407532926,2020-06-09,"model_4","3",0.0163284286039736
"496",0.0181621219918724,2020-06-09,"model_4","4",0.0163284286039736
"227",-0.0465839055195623,2020-06-10,"model_4","2",0.0163119989903902
"397",0.0262204260733849,2020-06-10,"model_4","3",0.0163119989903902
"497",0.0203634794461788,2020-06-10,"model_4","4",0.0163119989903902
"228",-0.0763602879651999,2020-06-11,"model_4","2",0.0155352092002523
"398",0.0318135910513166,2020-06-11,"model_4","3",0.0155352092002523
"498",0.0445466969138827,2020-06-11,"model_4","4",0.0155352092002523
"229",-0.0744171311072497,2020-06-12,"model_4","2",0.0156443504702765
"399",0.0320274578282962,2020-06-12,"model_4","3",0.0156443504702765
"499",0.0423896732789575,2020-06-12,"model_4","4",0.0156443504702765
"230",-0.0774165722147339,2020-06-13,"model_4","2",0.0155515502700612
"3100",0.0342554553717141,2020-06-13,"model_4","3",0.0155515502700612
"4100",0.0431611168430248,2020-06-13,"model_4","4",0.0155515502700612
"231",-0.0641742126045066,2020-06-14,"model_4","2",0.0157419114795092
"3101",0.0334175908242978,2020-06-14,"model_4","3",0.0157419114795092
"4101",0.0307566217802013,2020-06-14,"model_4","4",0.0157419114795092
"232",-0.071049561948911,2020-06-15,"model_4","2",0.0159294867223385
"3102",0.0416894661853131,2020-06-15,"model_4","3",0.0159294867223385
"4102",0.0293600957636011,2020-06-15,"model_4","4",0.0159294867223385
"233",-0.0775686650863735,2020-06-16,"model_4","2",0.0153115302333767
"3103",0.0430337277958118,2020-06-16,"model_4","3",0.0153115302333767
"4103",0.0345349372905653,2020-06-16,"model_4","4",0.0153115302333767
"1",0.083802925459444,2020-06-17,"model_4","1",0.0169419040221152
"234",-0.103163245306371,2020-06-17,"model_4","2",0.0169419040221152
"3104",0.0231489811593842,2020-06-17,"model_4","3",0.0169419040221152
"4104",-0.00378866131245354,2020-06-17,"model_4","4",0.0169419040221152
"11",0.0526519245928139,2020-06-18,"model_4","1",0.0168444075811374
"235",-0.0857110763937947,2020-06-18,"model_4","2",0.0168444075811374
"3105",0.0337590460820659,2020-06-18,"model_4","3",0.0168444075811374
"4105",-0.000699894281086831,2020-06-18,"model_4","4",0.0168444075811374
"12",0.00662120322004915,2020-06-19,"model_4","1",0.0171108198331079
"236",-0.0584582080766211,2020-06-19,"model_4","2",0.0171108198331079
"3106",0.0499511930268963,2020-06-19,"model_4","3",0.0171108198331079
"4106",0.00188581182967842,2020-06-19,"model_4","4",0.0171108198331079
"13",0.013286694080469,2020-06-20,"model_4","1",0.0172685584524439
"237",-0.0559640627334856,2020-06-20,"model_4","2",0.0172685584524439
"3107",0.0536545679087763,2020-06-20,"model_4","3",0.0172685584524439
"4107",-0.0109771992557479,2020-06-20,"model_4","4",0.0172685584524439
"14",0.0305892321931772,2020-06-21,"model_4","1",0.0168595302009501
"238",-0.087956261743048,2020-06-21,"model_4","2",0.0168595302009501
"3108",0.0287928473856711,2020-06-21,"model_4","3",0.0168595302009501
"4108",0.0285741821641982,2020-06-21,"model_4","4",0.0168595302009501
"15",0.0673933330793268,2020-06-22,"model_4","1",0.0174313397707925
"239",-0.0596897848436413,2020-06-22,"model_4","2",0.0174313397707925
"3109",0.0645219135892124,2020-06-22,"model_4","3",0.0174313397707925
"4109",-0.0722254618248969,2020-06-22,"model_4","4",0.0174313397707925
"16",-0.0302587246546033,2020-06-23,"model_4","1",0.0159299263476431
"240",-0.212124195417553,2020-06-23,"model_4","2",0.0159299263476431
"3110",-0.0820594676927569,2020-06-23,"model_4","3",0.0159299263476431
"4110",0.324442387764914,2020-06-23,"model_4","4",0.0159299263476431
"17",0.0587778754700191,2020-06-24,"model_4","1",0.0143843962764414
"241",-0.0872687229349794,2020-06-24,"model_4","2",0.0143843962764414
"3111",0.0284908474649557,2020-06-24,"model_4","3",0.0143843962764414
"18",0.0589333513647618,2020-06-25,"model_4","1",0.0142027645344744
"242",-0.0916832373656419,2020-06-25,"model_4","2",0.0142027645344744
"3112",0.032749886000874,2020-06-25,"model_4","3",0.0142027645344744
